id,created_at,text
1039181751086723072,2018-09-10 16:00:11,"b'The NFL has a new tackling rule, turning some of the most routine tackles into penalties. But how did the new rule\xe2\x80\xa6 https://t.co/NeDhrUDExy'"
1039177952527872002,2018-09-10 15:45:05,b'In Opinion\n\nFormer tennis champion Martina Navratilova writes of the Serena Williams and Naomi Osaka 2018 U.S. Open\xe2\x80\xa6 https://t.co/hnReIyvDsB'
1039174189708718080,2018-09-10 15:30:08,"b'In an Australian study, researchers found that baby boys born with undescended testes had a higher risk of health p\xe2\x80\xa6 https://t.co/R3tZ26DpZL'"
1039170394354339840,2018-09-10 15:15:03,"b'Hurricane Florence is making its way toward the East Coast, where it could make landfall by the end of the week. Tr\xe2\x80\xa6 https://t.co/n2hRjItXoU'"
1039166641203019777,2018-09-10 15:00:08,"b'RT @malachybrowne: We gathered CCTV, talked to police, friends and family to trace how a 15 yo boy was stabbed to death in New York this su\xe2\x80\xa6'"
1039162864811089922,2018-09-10 14:45:08,b'Abortion opposition once defined Marsha Blackburn. But she has largely relegated the issue to the background as she\xe2\x80\xa6 https://t.co/zgEXbuS5wo'
1039159333291020290,2018-09-10 14:31:06,"b""Prices are rising in China. That could complicate Beijing's efforts to navigate President Trump's trade war. https://t.co/6qis8viI3I"""
1039155302128607237,2018-09-10 14:15:05,"b'""There were electrical explosions and sparks. People braced themselves because it felt like the train was freewheel\xe2\x80\xa6 https://t.co/uCB698uZLI'"
1039152899421560832,2018-09-10 14:05:32,"b'RT @babimarcolini: The murder of a 15-year-old boy known as \xe2\x80\x9cJunior\xe2\x80\x9d outside a Bronx bodega in June caused outrage across New York City, le\xe2\x80\xa6'"
1039151557328232448,2018-09-10 14:00:12,"b""RT @NYTSports: Aaron Rodgers pulled off a miracle. Tom Brady didn't need to. Here's what we learned in NFL Week 1: https://t.co/mYHhnpf0WW"""
1039147760480604160,2018-09-10 13:45:07,b'Three men who were involved in the design or enforcement of the 25th Amendment reflected on its history and the dis\xe2\x80\xa6 https://t.co/UJFjCugPmg'
1039144225168875521,2018-09-10 13:31:04,"b'A Times reporter describes what it was like to interview internet conspiracy theorist Alex Jones. Afterward, Jones\xe2\x80\xa6 https://t.co/igCDxn0AUG'"
1039140449183834112,2018-09-10 13:16:04,"b'""We came here very suddenly because I feared for my life and that of my children,"" their mother said. ""My hope is t\xe2\x80\xa6 https://t.co/5nQ8pCg4HZ'"
1039136476179714048,2018-09-10 13:00:16,"b""Morning Briefing: Here's what you need to know to start your day https://t.co/uG8MG9QoJB https://t.co/qAOVs0Gj9G"""
1039132649170903040,2018-09-10 12:45:04,"b'Staring through her peephole after she heard a gunshot, a neighbor said she saw a police officer pacing and heard h\xe2\x80\xa6 https://t.co/EQBKBoauYV'"
